,date,favorite_count,followers_count,friends_count,full_text,retweet_count,retweeted,screen_name,tweet_id,user_id,user_mentions,length
1,2019-06-23 22:50:42,0,4,26,"@swiggy_in  I have been ordering my food since last 1 month daily, every delivery executive of yours is denying us services or delaying my every order, some of them are saying that there is ghost in my area. Is this the kind of service you provide to your ""super users"".??",0,False,0bee_1,1142927990956802048,818109531704082434,['swiggy_in'],272
2,2019-06-23 21:40:54,0,0,42,@swiggy_in @Somashekardiddi Call me 9592951991,0,False,Rockyy1991,1142910425459093504,990306218458497024,"['swiggy_in', 'Somashekardiddi']",46
3,2019-06-23 21:34:00,0,4,7,@SwiggyCares Kindly refund me the amount.,0,False,AveerjeetD,1142908691403792384,1051553580925169665,['SwiggyCares'],41
4,2019-06-23 21:32:23,0,0,42,@swiggy_in very bad executive,0,False,Rockyy1991,1142908284921192448,990306218458497024,['swiggy_in'],29
5,2019-06-23 21:29:26,0,4,7,"@SwiggyCares Really sorry about the disappointing experience you've had. Please be assured we'll have this highlighted so that such experiences can be minimized and we give you more satisfying experiences hereafter.

 ^Naveen

This was reply really excepted.",0,False,AveerjeetD,1142907538754531329,1051553580925169665,['SwiggyCares'],258
6,2019-06-23 21:27:47,0,4,7,@SwiggyCares My problem is not resolved,0,False,AveerjeetD,1142907126366392320,1051553580925169665,['SwiggyCares'],39
7,2019-06-23 21:27:16,2,17,323,@agiru_saikiran @swiggy_in @SwiggyCares @swiggyindia @Zomato @zomatocare They are same company like a brother and sister 😅😅 swiggy don't know what happing in market they are busy in making money...,0,False,skyparker4,1142906994115993601,708766710,"['agiru_saikiran', 'swiggy_in', 'SwiggyCares', 'swiggyindia', 'Zomato', 'zomatocare']",197
9,2019-06-23 21:24:50,0,0,42,@swiggy_in what the hell is this https://t.co/1Pj6eoZmEW,0,False,Rockyy1991,1142906382502354944,990306218458497024,['swiggy_in'],56
10,2019-06-23 21:14:35,0,0,42,@swiggy_in what the hell is this... please read https://t.co/mPoGjQ2VEa,0,False,Rockyy1991,1142903804343361536,990306218458497024,['swiggy_in'],71
11,2019-06-23 21:10:37,1,2,3,"Pathetic Service by @swiggy_in @SwiggyCares,  First of all my order turns out to be bad,  then the customer care people take forever to respond at last I'm given a refund coupon with the value 3 times lesser then what I ordered.  
Never ordering again!!! 
Order# - 44396515784",0,False,pranavkachroo,1142902806732406784,108312299,"['swiggy_in', 'SwiggyCares']",276
12,2019-06-23 21:08:18,2,38,70,whats great services @swiggy_in you guys cancel my order (44394975528) after 30 min saying that restaurant close and Zomato accepted and delivered that for the same restaurant i think @swiggy_in better close your business,0,False,AmbrishVarshne4,1142902223342411776,1013488202374508545,['swiggy_in'],221
13,2019-06-23 20:44:13,0,3,38,@Trippiie_ @swiggy_in @SwiggyCares This happening is kind of my always and forever.,0,False,komal1410,1142896160895488000,1100978163264286726,"['Trippiie_', 'swiggy_in', 'SwiggyCares']",83
14,2019-06-23 20:32:18,0,2,5,"@swiggy_in @SwiggyCares Its second time now that I got cold food. Unacceptable !!! Swiggy should ensure that restraunts find a way to send meal in a way that it dont gets cold. When I order from swiggy, I envy my trust on Swiggy but I am highly disappointed.",0,False,Ramansach19,1142893161288568832,836296126936469506,"['swiggy_in', 'SwiggyCares']",258
15,2019-06-23 20:24:18,1,365,348,@thunderonroad @Navimumpolice @copnavimumbai @MumbaiPolice @CPMumbaiPolice @MahaPolice @CMOMaharashtra @DRaote These swiggy delivery guys are obnoxious...They r rude plus ride fast cutting lanes and honk incessantly @SwiggyCares,0,False,tellynation,1142891148731486208,3474428480,"['thunderonroad', 'Navimumpolice', 'copnavimumbai', 'MumbaiPolice', 'CPMumbaiPolice', 'MahaPolice', 'CMOMaharashtra', 'DRaote']",228
16,2019-06-23 20:14:23,1,31,100,"Hi @bounceshare 
Is this a perfect product placement or did I just solve a case ? 🤔

@swiggy_in going too far to deliver, dont u think so ??

#deliveryguy #Delivery #sharing
#food #risky #Bangalore #CustomerService #CaseSolved https://t.co/FzRz9yJNXM",0,False,fca_nikhil,1142888654475386880,3225842209,"['bounceshare', 'swiggy_in']",250
17,2019-06-23 20:06:37,0,20,363,@SwiggyCares the food description for your dishes are wrong in 'The bowl company' menu. Isn't that your cloud kitchen. I deserve a personalised thank you from you guys for doing your work for free😊😊 https://t.co/r2qw6DprKt,0,False,montubaxx,1142886699929702400,993900702333358081,['SwiggyCares'],222
18,2019-06-23 20:04:50,0,52,161,Hey @swiggy_in pls extend your services in IBS Hyderabad campus too. Around 2000 MBA people lives in the hostel (+ other branches too). Will be a great help to us.,1,False,prateekamr,1142886251994865664,3100790827,['swiggy_in'],163
19,2019-06-23 20:04:33,0,4,7,"@SwiggyCares There is no response from your end in DM, so make this conversation public and chat over here, I know nobody will respond to the DMs as it is a DM.",0,False,AveerjeetD,1142886178204479488,1051553580925169665,['SwiggyCares'],160
