,date,favorite_count,followers_count,friends_count,full_text,retweet_count,retweeted,screen_name,tweet_id,user_id,user_mentions,length
3,2019-06-22 23:26:07,0,24,156,@ZomatoIN...You guys are a big big liars. Doesn't care about the customers &amp; only concerned about the commission. ##zomato##customercare##commitment##failure##liars https://t.co/yuP4A04lrB,0,False,naveennk20,1142574517983670272,394093182,['ZomatoIN'],192
4,2019-06-22 23:21:55,0,206,217,"@zomatocare @capt_ivane @ZomatoIN After asking the ID no.there is no response from you u guys, sad indeed.!!",0,False,Neeraj47840799,1142573460826103808,888329031631982592,"['zomatocare', 'capt_ivane', 'ZomatoIN']",108
5,2019-06-22 23:03:35,0,20,184,"@Zomato Hello Team, can you please let me why you do not have a customer service number to discuss issues? Is it part of a policy or just cost cutting? @zomatocare @ZomatoIN @ZomatoGold @jagograhakjago @ConsumerReports https://t.co/vzyMu9N3jj",0,False,sohumm,1142568848085803009,101222899,['Zomato'],242
6,2019-06-22 22:48:34,0,301,926,@zomatocare Plz check this,0,False,immvarma,1142565066467733504,2298039493,['zomatocare'],26
7,2019-06-22 22:36:48,0,301,926,@zomatocare What a great response,0,False,immvarma,1142562105842753536,2298039493,['zomatocare'],33
8,2019-06-22 22:34:06,0,301,926,@zomatocare U guyz also didn't respond,0,False,immvarma,1142561424608116739,2298039493,['zomatocare'],38
9,2019-06-22 22:29:10,0,103,143,"@NoMeRcY_1988 @mayursakhare @PAWANSANAN @Zomato @ZomatoIN @londonbubbleco Hey Psychopath please start reading properly, i am already working in multinational. I am asking zomato to give you some work, so you can use your head and free time in right direction instead poking nose into anyone's tweet.😂",0,False,Sheetal72661690,1142560185409581058,941741816956809221,"['NoMeRcY_1988', 'mayursakhare', 'PAWANSANAN', 'Zomato', 'ZomatoIN', 'londonbubbleco']",300
10,2019-06-22 22:26:55,0,301,926,@zomatocare Plz check this order number also 1042096076,0,False,immvarma,1142559620612759552,2298039493,['zomatocare'],55
11,2019-06-22 22:25:46,0,301,926,@zomatocare Ok thanks for the reply,0,False,immvarma,1142559327426793473,2298039493,['zomatocare'],35
12,2019-06-22 22:22:39,0,145,339,I reviewed Forennte and rated it 5/5 on @ZomatoIN #LoveFood https://t.co/oFX9lfK929,0,False,deepakhaladkarr,1142558542999609344,733134961,['ZomatoIN'],83
