date,favorite_count,followers_count,friends_count,full_text,retweet_count,retweeted,screen_name,tweet_id,user_id,user_mentions
2019-07-13 23:53:39,0,8,129,"@ZomatoIN first you fuck up the order, then online support takes an hour to resolve it, then you take forever to add the promised credits to the account. If none of customer satisfaction, quality of service or food quality are your forte, what the fuck are you in business for??",0,False,almatranquila24,1150191592826912768,847755854178680833,['ZomatoIN']
2019-07-13 23:39:21,0,0,2,I am father of 6 month old daughter and what happened to my family if I stuck in same problem. please stop showing our name to direct In app. security purpose our photo can show. If customer ask we can show our Id card. please reach out vadodara team for our safety.@zomatocare,0,False,ArshNana,1150187990729150464,1013546408425603072,[]
2019-07-13 23:39:20,0,0,2,@zomatocare Dear zomato team I am delivery partner from vadodara and now daily basis some delivery partner get beating by some people/customer because of our religion. In last 3 days 2 incident happen in vadodara. what should we do in our safety?,0,False,ArshNana,1150187987864444934,1013546408425603072,['zomatocare']
2019-07-13 23:36:46,0,0,11,"After having a full debate as I did solve this matter. 
I just want to say that there is no concern for management, customer service and business.
@Zomato @ZomatoIN 
Refer the screenshot for your reference.",0,False,Prashuraj786,1150187340993744898,1150174136850776065,[]
2019-07-13 23:33:43,0,12212,42,"@sonia_truth @ZomatoIN @Zomato Hi Sonia! We apologize for the inconvenience caused. Thanks for sharing the details, we are getting this checked for you. ^SS",0,False,zomatocare,1150186572685332480,988362975617601536,"['sonia_truth', 'ZomatoIN', 'Zomato']"
2019-07-13 23:30:38,0,0,0,@zomatocare @Zomato @ZomatoIN The restaurant accepts but when i call them the no is off,0,False,NihalSi65827262,1150185798324510720,1052610558610923520,"['zomatocare', 'Zomato', 'ZomatoIN']"
2019-07-13 23:28:28,0,0,0,@zomatocare @Zomato @ZomatoIN 1701491569,0,False,NihalSi65827262,1150185254474244096,1052610558610923520,"['zomatocare', 'Zomato', 'ZomatoIN']"
2019-07-13 23:28:18,0,12212,42,@Prashan44091017 @ZomatoIN Hi Prashant! This doesn't sound like a customer centric support we strive to provide. Can you please share your contact details/order ID so that we can look into it right away. ⇝SS,0,False,zomatocare,1150185211654627330,988362975617601536,"['Prashan44091017', 'ZomatoIN']"
2019-07-13 23:27:50,0,12212,42,@NihalSi65827262 @Zomato @ZomatoIN Hi Nihal! Seems like you had a bad experience while ordering with us. Mind sharing the order number so that we could check this for you? ⇝SS,0,False,zomatocare,1150185094503493632,988362975617601536,"['NihalSi65827262', 'Zomato', 'ZomatoIN']"
2019-07-13 23:23:51,0,0,0,@Zomato @ZomatoIN please don’t give such service which you will not able  to full fill #worstservice,0,False,NihalSi65827262,1150184093071466496,1052610558610923520,"['Zomato', 'ZomatoIN']"
