date,favorite_count,followers_count,friends_count,full_text,retweet_count,screen_name,tweet_id,user_id,user_mentions
2019-06-03 23:58:50,0,62,247,@zomatocare @ZomatoIN @MouthShut @deepigoyal @cricketworldcup @ICC Shameless company like Zomato harass customers as every Indians know they have a third class customer service,0,VikasKonwar007,1135697379955314688,3034181191,"['zomatocare', 'ZomatoIN', 'MouthShut', 'deepigoyal', 'cricketworldcup', 'ICC']"
2019-06-03 23:57:58,0,62,247,@zomatocare @ZomatoIN @MouthShut @deepigoyal @cricketworldcup @ICC Still no update never seen such a third class food delivery app what an irony being a regular foodie of zomato and getting my account blocked still not sure what went wrong nor they telling me,0,VikasKonwar007,1135697164179451904,3034181191,"['zomatocare', 'ZomatoIN', 'MouthShut', 'deepigoyal', 'cricketworldcup', 'ICC']"
2019-06-03 23:56:26,0,0,2,@zomatocare @ZomatoIN orderes for a cake.. And got something like this.. Then was promised refund and told it is initiated 1 week ago n now they blocked my account.. No refund nothing.. Useless guys.. I wish i could abuse on this platform https://t.co/DzAlWs1Axr,0,Jayesh79169358,1135696777561104384,1134103776694980608,"['zomatocare', 'ZomatoIN']"
2019-06-03 23:55:36,0,0,2,@ZomatoIN @zomatocare also this https://t.co/nqaRr6IwI1,0,Jayesh79169358,1135696565698359296,1134103776694980608,"['ZomatoIN', 'zomatocare']"
2019-06-03 23:55:29,0,0,2,@ZomatoIN @zomatocare so many tweets and no response from ur end.. Highly shaame less guys https://t.co/58YkAKRYUd,0,Jayesh79169358,1135696537458073600,1134103776694980608,"['ZomatoIN', 'zomatocare']"
2019-06-03 23:51:31,0,0,2,@zomatocare @ermohit Dude what abt my issue guys are simply ignoring me,0,Jayesh79169358,1135695540492984320,1134103776694980608,"['zomatocare', 'ermohit']"
2019-06-03 23:49:01,0,0,2,"@zomatocare am fedup of zomato.. U guys havent responded in, 7days..read all the dm but no call back. This is my 50th tweet for the concern",0,Jayesh79169358,1135694908440735744,1134103776694980608,['zomatocare']
2019-06-03 23:47:05,0,0,2,@ZomatoIN it is sad that zomato hasnt helped me in 7 days.. Really heart breaking..,0,Jayesh79169358,1135694425181450240,1134103776694980608,['ZomatoIN']
2019-06-03 23:42:44,0,4,3,"@zomatocare @Zomato @ZomatoIN @zomatocare @ZomatoIN  Restaurant didn't prepare the food and delivery executive hadn't picked the order, still zomato has charged for order.",0,kuldeepk927,1135693330887696384,2197421190,"['zomatocare', 'Zomato', 'ZomatoIN', 'zomatocare', 'ZomatoIN']"
2019-06-03 23:40:26,0,4,3,"@zomatocare @Zomato Very poor customer service.
@ZomatoIN Amount should be refunded of cancelled order
Order No. #1079519557
Order date: 27/may/2019",0,kuldeepk927,1135692752459640838,2197421190,"['zomatocare', 'Zomato', 'ZomatoIN']"
2019-06-03 23:37:54,0,365,305,@pankajchaddah @deepigoyal @zomatocare I came 🏠frm wrk. Ordered on #Zomato.no valet assigned. No proper in app support. No response on Twitter. I'm hungry till @swiggy_in opens @ 7am. Help me gt my refund. I promise I won't place any late night order. #Help #Refund #TrustBroken https://t.co/2aUVIMAacl,0,rimajha,1135692114006749184,54519676,"['pankajchaddah', 'deepigoyal', 'zomatocare']"
2019-06-03 23:24:29,0,365,305,"@zomatocare when u couldn't deliver food. Refund me my money. Won't order late night food frm you again. #CheatingCustomer #badcustomerservice
They don't respond via support and now they aren't responding here. I'm.hungry and it's been more than an hour.
Please RT this if you see",0,rimajha,1135688735784202240,54519676,['zomatocare']
2019-06-03 23:17:39,0,365,305,"@zomatocare you won't deliver the order, you won't refund and now you won't respond 👏👏 https://t.co/uVkp8jUHLm",0,rimajha,1135687015104634882,54519676,['zomatocare']
2019-06-03 23:13:41,0,365,305,The place is going to shut in 15 mins. Thanks for helping. Kindly refund as you failed to deliver order to me. @zomatocare https://t.co/2WkR26JpMG,0,rimajha,1135686019695595520,54519676,[]
2019-06-03 23:11:45,0,365,305,@zomatocare Seems like you too vanished leaving me hungry. Thanks !!!,0,rimajha,1135685531881185280,54519676,['zomatocare']
2019-06-03 23:05:56,0,267,413,"RT @TheAmitLakhani: One of the rare Indian companies to introduce a policy that endorses  importance of family time.
Policy also applies to…",0,kumar_avi,1135684066307690496,31200103,['TheAmitLakhani']
2019-06-03 22:58:40,0,365,305,@zomatocare If possible replace this with 1 vada and 1 bonda from Anu Kitchen. Which is closing in 40 mins,0,rimajha,1135682237456834560,54519676,['zomatocare']
